trucks_count 4
drones_count 4
customers 100
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
14493.429363780388   -15390.338603811684  1        0.9965988001952928
10379.353547010383   -27575.17574455356   1        6.521188430241597
-12875.50737133677   10968.758215875005   1        0.8481375055991919
14883.309713295981   -4236.103864804304   1        0.8941841829277714
-18950.20554945851   -20652.406988505743  1        1.0014702991929267
17082.273775458747   -22086.405856781937  1        0.20513422936120546
-28840.86024896894   2735.471150114069    1        2.0965555932113906
28283.702806773937   -31968.819034963828  1        53.269445924119665
27841.77171527473    -12764.607389685389  1        57.436895079322746
14375.867340610745   9902.758081651413    1        12.01839034796637
25842.15974872365    15925.424313406662   1        0.09004144767860323
5159.239225686825    25691.949348404276   1        0.26058301306501164
7528.666836055286    20982.172254438094   1        2.4995420800382004
-20384.773626919807  25600.37436050811    1        0.7278584622554862
10917.794698775897   2623.68608100031     1        0.11417677193456599
-12967.404881821407  11018.04725090494    1        0.1891077297888255
-8644.48156548689    9562.174186642786    1        2.470037620998058
14398.979386188736   -15184.633218892768  1        0.690739614906394
31234.241840218478   12983.082590648697   1        1.7422470652904245
27790.9110051815     -16468.21766062927   1        0.20928171465292023
18237.273111738363   15281.710395139093   1        1.4299865186325231
-12148.318757520097  -2064.1491803217787  1        2.3157942930824613
-15717.353009748429  -21603.078002651586  1        0.7429714665597589
-22591.411323773962  -13606.302850548587  1        0.6677072440961205
-4023.7351055400486  9533.824004555676    1        1.2225761049770982
16010.68366931743    8454.983367411101    1        1.4237834581573947
-15925.817533616457  -29314.510860614846  1        0.25581105993356196
-10879.502492660109  7168.913743662083    1        2.302911428156522
-20078.859613756344  11912.636521826673   1        1.7653566186622516
7039.119417478036    7837.640507920406    1        5.969667330098856
19824.353975250553   3876.8131579177325   1        2.483855326955494
-20232.794930685293  -27962.341986538067  1        1.8566897437917156
24395.266554595037   -18863.320357766002  1        0.34566655065921353
-21830.377683271163  -21944.08386220555   1        57.560645745958425
-24014.671685454792  -9867.59447212848    1        2.1542864279477394
6711.9077097434565   -1241.8720580394006  1        1.0155276258236405
25324.015589887942   4958.166339763747    1        0.8086362013186332
17837.990422717663   -19777.125764098353  1        1.7332694856220834
-18560.60434703033   10752.383368419667   1        0.49642203931907436
-15828.059370793457  -25037.81848934479   1        66.22102058624642
-27509.591436777246  -15613.79827860122   1        1.3877695045814462
-10432.579735370735  -29104.86747253635   1        1.077300304911267
25686.537419516597   -31159.549161276223  1        0.9873358713119229
-5746.810150283716   -25432.801025642795  1        1.5768490451881154
-131.63904767088323  3138.4960434568425   1        2.4281034301832465
-24603.389101139288  21968.727326716522   1        20.612584907221027
-31433.11218846925   7664.576220824723    1        0.6150566671258171
1772.8369626035937   -479.22754589990774  1        0.6696400314587247
8725.40696639832     -1714.2634673790362  1        0.2519464725947393
10442.122900437815   10748.782244507807   1        0.7064102975872746
-24295.02100638906   -11191.259482794308  1        0.4093450687443617
-29336.26272041169   -19702.26530554416   1        0.9414954025404512
-9964.331383308476   -12623.064386447233  1        26.53048404197021
-22359.241472743197  -28892.50288476216   1        0.8475812077786573
-4360.064736807011   -6484.585938444778   1        1.4900488523798963
27904.720211610336   2962.6369132005      1        1.9764068969113089
-15963.944087872454  -16999.994384851645  1        0.1182231979488918
16727.64353677343    -20810.312640675937  1        0.6593724621703984
-15453.776911096435  12566.617929496051   1        0.38303599336875493
-947.6302344493424   22499.465959507696   1        1.883225898022654
30981.354678377636   13206.989883377002   1        0.47936450742230796
-959.5965391890829   -7904.703005577523   1        1.1865327974932733
9499.25025971435     15618.12775117049    1        2.3537061751900294
21278.88726871333    -4171.9199871902     1        2.047631577628079
16537.590298158786   22495.789821080903   1        2.4909528369320366
31549.128247521705   -6405.420795559166   1        1.8597773090638567
4977.601866110801    -18442.627268646     1        1.5080801651878384
13021.343659515805   16077.96454943094    1        0.21417761827758341
23364.35715654651    7404.083682258243    1        0.3379555670566792
26712.430402224312   28446.4915165526     1        1.3366231718230248
-12726.050915082891  -13554.321010087251  1        1.4114674481525789
28015.75319081562    29689.833564593835   1        0.6484167512925043
-2028.4246257079024  -31714.02925837438   1        1.3711793673407577
-20309.516178556187  28759.67086205255    1        1.0473031489155424
-13483.625059744994  -5010.829971723089   1        2.4747118383643936
-19067.405363161328  5390.856673542011    1        0.12910357588250126
-11861.015242915264  31327.04817790766    1        0.47105510257743316
19495.524759021406   -20427.049080836667  1        7.628848517123382
-14017.961520497875  31462.8076792829     1        2.358015722024657
